Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Philadelphia 76ers*,49,23,0.681,�,113.6,108.1,5.28
Brooklyn Nets*,48,24,0.667,1.0,118.6,114.1,4.24
Milwaukee Bucks*,46,26,0.639,3.0,120.1,114.2,5.57
New York Knicks*,41,31,0.569,8.0,107,104.7,2.13
Atlanta Hawks*,41,31,0.569,8.0,113.7,111.4,2.14
Miami Heat*,40,32,0.556,9.0,108.1,108,-0.06
Boston Celtics*,36,36,0.5,13.0,112.6,111.2,1.32
Washington Wizards*,34,38,0.472,15.0,116.6,118.5,-1.85
Indiana Pacers,34,38,0.472,15.0,115.3,115.3,-0.13
Charlotte Hornets,33,39,0.458,16.0,109.5,111.4,-1.94
Chicago Bulls,31,41,0.431,18.0,110.7,111.6,-0.94
Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54
Cleveland Cavaliers,22,50,0.306,27.0,103.8,112.3,-8.19
Orlando Magic,21,51,0.292,28.0,104,113.3,-9.02
Detroit Pistons,20,52,0.278,29.0,106.6,111.1,-4.38
