Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,Home/Away
10/19/2021,501,V,Brooklyn,25,34,26,19,104,240.5,233.5,105,2,0
10/19/2021,502,H,Milwaukee,37,29,31,30,127,pk,1.5,-125,114,1
10/19/2021,503,V,GoldenState,32,21,30,38,121,230.5,226.5,140,111.5,0
10/19/2021,504,H,LALakers,34,25,26,29,114,4.5,3.5,-160,pk,1
10/20/2021,505,V,Indiana,38,37,13,34,122,228.5,1.5,-125,110.5,0
10/20/2021,506,H,Charlotte,27,32,33,31,123,2,223,105,4,1
10/20/2021,507,V,Chicago,14,26,31,23,94,2.5,5,-220,5.5,0
10/20/2021,508,H,Detroit,20,24,25,19,88,220.5,218,190,110.5,1
10/20/2021,509,V,Washington,26,31,24,17,98,220,223,120,109,0
10/20/2021,510,H,Toronto,18,19,22,24,83,3.5,2.5,-140,6,1
10/20/2021,511,V,Boston,35,23,24,34,134,217.5,220,120,112.5,0
10/20/2021,512,H,NewYork,29,25,32,30,138,1,2.5,-140,2.5,1
10/20/2021,513,V,Cleveland,32,29,29,31,121,217.5,218.5,240,107,0
10/20/2021,514,H,Memphis,32,41,21,38,132,8,7,-280,pk,1
10/20/2021,515,V,Philadelphia,29,24,28,36,117,1.5,4,-170,2.5,0
10/20/2021,516,H,NewOrleans,25,28,17,27,97,227.5,224,150,109,1
10/20/2021,517,V,Houston,21,24,26,35,106,228.5,232,220,3.5,0
10/20/2021,518,H,Minnesota,32,40,27,25,124,4.5,6.5,-260,113,1
10/20/2021,519,V,Orlando,28,21,22,26,97,215.5,212.5,225,104,0
10/20/2021,520,H,SanAntonio,32,29,33,29,123,5.5,7,-265,pk,1
10/20/2021,521,V,OklahomaCity,18,24,21,23,86,221.5,221.5,750,107,0
10/20/2021,522,H,Utah,27,27,29,24,107,11.5,14,-1200,5,1
10/20/2021,523,V,Sacramento,24,38,38,24,124,231.5,234,220,114,0
10/20/2021,524,H,Portland,23,26,36,36,121,5.5,6.5,-260,7,1
10/20/2021,525,V,Denver,26,25,34,25,110,224.5,224,200,108.5,0
10/20/2021,526,H,Phoenix,20,38,24,16,98,6.5,6,-240,1,1
10/21/2021,527,V,Dallas,20,24,20,23,87,224.5,225.5,120,1,0
10/21/2021,528,H,Atlanta,22,29,35,27,113,2.5,2.5,-140,110,1
