date,game visitor,chief,crew1,crew2
1019,Brooklyn,Josh Tiven,Jacyn Goble,Natalie Sago
1019,Golden State,Sean Wright,Mark Lindsay,Ray Acosta
1020,Indiana,Rodney Mott,Scott Wall,Nate Green
1020,Chicago,Tyler Ford,Derek Richardson,Mousa Dagher
1020,Boston,Scott Foster,Ed Malloy,Lauren Holtkamp
1020,Washington,Bill Kennedy,Eric Dalen,John Butler
1020,Cleveland,Kevin Scott,Michael Smith,John Conley
1020,Houston,Curtis Blair,Tre Maddox,Simone Jelks
1020,Philadelphia,Courtney Kirkland,Karl Lane,Danielle Scott
1020,Orlando,Ben Taylor,Sean Corbin,Jenna Schroeder
1020,Oklahoma City,Zach Zarba,Mark Lindsay,Ray Acosta
1020,Denver,Marc Davis,Kevin Cutler,Leon Wood
1020,Sacramento,Sean Wright,Nick Buchert,Phenizee Ransom
1021,Dallas,James Capers,Dedric Taylor,Scott Twardoski
1021,Milwaukee,David Guthrie,Mitchell Ervin,Jonathan Sterling
1021,LA Clippers,Zach Zarba,Tom Washington,Justin Van Duyne
1022,Charlotte,Bill Kennedy,Eric Dalen,John Butler
1022,New York,Rodney Mott,JB DeRosa,Bennie Adams
1022,Indiana,Eric Lewis,Gediminas Petraitis,Mousa Dagher
1022,Toronto,Curtis Blair,Brian Forte,Derek Richardson
1022,Brooklyn,David Guthrie,Tre Maddox,Marat Kogut
1022,New Orleans,Scott Foster,Jacyn Goble,Brandon Schwab
1022,Oklahoma City,Courtney Kirkland,Sean Corbin,Danielle Scott
1022,San Antonio,Sean Wright,Mark Lindsay,Phenizee Ransom
1022,Phoenix,Tony Brothers,Nick Buchert,Justin Van Duyne
1022,Utah,Kevin Cutler,Brent Barnaky,J.T. Orr
1023,Atlanta,Curtis Blair,Scott Wall,Nate Green
1023,Miami,James Williams,Michael Smith,John Conley
1023,Dallas,Josh Tiven,Aaron Smith,Andy Nagy
1023,Detroit,Pat Fraher,Eric Dalen,Ray Acosta
1023,New Orleans,Kevin Scott,Gediminas Petraitis,Matt Boland
1023,Milwaukee,Ed Malloy,Karl Lane,Scott Twardoski
1023,Phoenix,Zach Zarba,Tom Washington,Jenna Schroeder
1023,Memphis,Tony Brothers,Nick Buchert,Brett Nansel
1024,Charlotte,James Capers,Derek Richardson,Suyash Mehta
1024,Orlando,Bill Kennedy,Tre Maddox,John Butler
1024,Boston,Ben Taylor,JB DeRosa,Bennie Adams
1024,Philadelphia,Rodney Mott,Jacyn Goble,Phenizee Ransom
1024,Golden State,Derrick Collins,Brent Barnaky,Jenna Schroeder
1024,Memphis,Marc Davis,Kevin Cutler,Brandon Adair
1025,Boston,Courtney Kirkland,Matt Boland,Matt Myers
1025,Milwaukee,Mark Lindsay,Leon Wood,CJ Washington
1025,Detroit,Josh Tiven,Aaron Smith,Jonathan Sterling
1025,Washington,Tyler Ford,Scott Wall,Ray Acosta
1025,Orlando,Kevin Scott,Dedric Taylor,Evan Scott
1025,Chicago,James Williams,Michael Smith,Suyash Mehta
1025,New Orleans,Ed Malloy,Eric Dalen,Nate Green
1025,Cleveland,Tony Brothers,Tom Washington,Nick Buchert
1025,Portland,Eric Lewis,Brent Barnaky,Natalie Sago
1026,Philadelphia,James Williams,Mitchell Ervin,Brett Nansel
1026,Golden State,Ben Taylor,JB DeRosa,Marat Kogut
1026,Houston,Sean Wright,Justin Van Duyne,John Conley
1026,L.A. Lakers,Curtis Blair,Brian Forte,Andy Nagy
1026,Denver,David Guthrie,Derrick Collins,Brandon Adair
1027,Charlotte,Josh Tiven,Scott Wall,Danielle Scott
1027,Washington,James Capers,Michael Smith,Leon Wood
1027,Miami,Ed Malloy,Jacyn Goble,Brandon Schwab
1027,Indiana,Marc Davis,Karl Lane,Matt Boland
1027,Atlanta,Pat Fraher,Brian Forte,Evan Scott
1027,Minnesota,Zach Zarba,Dedric Taylor,Matt Myers
1027,L.A. Lakers,Scott Foster,Gediminas Petraitis,Lauren Holtkamp
1027,Sacramento,Eric Lewis,Natalie Sago,Suyash Mehta
1027,Memphis,Rodney Mott,J.T. Orr,Scott Twardoski
1027,Cleveland,Tre Maddox,Derrick Collins,Mousa Dagher
1028,Detroit,Tom Washington,JB DeRosa,Andy Nagy
1028,Atlanta,Ben Taylor,Derek Richardson,CJ Washington
1028,New York,David Guthrie,Justin Van Duyne,Nate Green
1028,Utah,Curtis Blair,Mitchell Ervin,Marat Kogut
1028,San Antonio,Tyler Ford,Sean Corbin,Brandon Adair
1028,Memphis,Bill Kennedy,Eric Dalen,Jonathan Sterling
1029,Orlando,James Capers,Leon Wood,Brett Nansel
1029,Indiana,Sean Wright,Dedric Taylor,Phenizee Ransom
1029,Charlotte,Tony Brothers,Brian Forte,Aaron Smith
1029,Sacramento,Kevin Scott,Mitchell Ervin,Matt Myers
1029,Dallas,Scott Foster,J.T. Orr,Bennie Adams
1029,LA Clippers,Courtney Kirkland,Eric Dalen,Suyash Mehta
1029,Cleveland,Eric Lewis,Natalie Sago,John Butler
1030,Boston,Zach Zarba,JB DeRosa,John Conley
1030,Orlando,Marc Davis,Lauren Holtkamp,Brandon Schwab
1030,New York,Curtis Blair,Gediminas Petraitis,CJ Washington
1030,Toronto,Tom Washington,Nick Buchert,Jenna Schroeder
1030,Atlanta,Ed Malloy,Michael Smith,Phenizee Ransom
1030,Utah,Tyler Ford,Scott Wall,Matt Myers
1030,Miami,Josh Tiven,Brent Barnaky,Derek Richardson
1030,San Antonio,James Williams,Matt Boland,Evan Scott
1030,Oklahoma City,Bill Kennedy,Tre Maddox,Nate Green
1030,Denver,Kevin Cutler,Justin Van Duyne,Ray Acosta
1030,Cleveland,Rodney Mott,Sean Corbin,Jonathan Sterling
1031,Sacramento,Pat Fraher,Derrick Collins,Mousa Dagher
1031,Portland,James Capers,Dedric Taylor,John Conley
1031,Utah,Scott Foster,Leon Wood,Brett Nansel
1031,Detroit,Mark Lindsay,Aaron Smith,Scott Twardoski
1031,Houston,Courtney Kirkland,Eric Dalen,Nate Green
1101,Cleveland,Pat Fraher,Nick Buchert,Brandon Schwab
1101,San Antonio,David Guthrie,Jacyn Goble,Danielle Scott
1101,Portland,Ben Taylor,Scott Wall,Evan Scott
1101,Washington,Marc Davis,Brandon Adair,Suyash Mehta
1101,Chicago,Ed Malloy,Natalie Sago,Ray Acosta
1101,Toronto,Kevin Cutler,Marat Kogut,Phenizee Ransom
1101,Denver,Curtis Blair,Matt Boland,Jenna Schroeder
1101,Orlando,Tyler Ford,Mitchell Ervin,Andy Nagy
1101,Oklahoma City,James Williams,Sean Corbin,Jonathan Sterling
1102,Milwaukee,Brian Forte,Marat Kogut,John Butler
1102,Miami,Rodney Mott,Dedric Taylor,Brett Nansel
1102,Sacramento,Bill Kennedy,Michael Smith,Nate Green
1102,New Orleans,Courtney Kirkland,Lauren Holtkamp,Justin Van Duyne
1102,Houston,James Williams,JB DeRosa,Jonathan Sterling
1103,Portland,Zach Zarba,Ray Acosta,Danielle Scott
1103,New York,Ben Taylor,Aaron Smith,Bennie Adams
1103,Boston,Sean Wright,Brandon Adair,Tyler Ricks
1103,Chicago,Brian Forte,J.T. Orr,Scott Twardoski
1103,Toronto,Mark Lindsay,Natalie Sago,Evan Scott
1103,Atlanta,Josh Tiven,Brent Barnaky,Matt Boland
1103,Denver,Tom Washington,Karl Lane,Brandon Schwab
1103,LA Clippers,Marc Davis,Derrick Collins,Jenna Schroeder
1103,Dallas,Eric Lewis,Gediminas Petraitis,CJ Washington
1103,Charlotte,Kevin Scott,JB DeRosa,Derek Richardson
1103,New Orleans,Tony Brothers,Sean Corbin,Andy Nagy
1104,Philadelphia,Pat Fraher,Tre Maddox,Ray Acosta
1104,Utah,Mark Lindsay,Derrick Collins,John Butler
1104,Boston,Scott Foster,Mitchell Ervin,Nick Buchert
1104,Houston,James Capers,Michael Smith,Andy Nagy
1104,Oklahoma City,Kevin Scott,Lauren Holtkamp,John Conley
1105,Brooklyn,Eric Lewis,Brian Forte,Bennie Adams
1105,San Antonio,Zach Zarba,Nick Buchert,Brandon Adair
1105,Memphis,Kevin Cutler,Gediminas Petraitis,Phenizee Ransom
1105,Cleveland,Curtis Blair,J.T. Orr,Jenna Schroeder
1105,New York,Ed Malloy,Tom Washington,Scott Twardoski
1105,LA Clippers,Ben Taylor,Marat Kogut,CJ Washington
1105,New Orleans,David Guthrie,Jacyn Goble,Leon Wood
1105,Indiana,Tony Brothers,Sean Corbin,Justin Van Duyne
1105,Charlotte,Rodney Mott,Tyler Ford,Danielle Scott
1106,Houston,Josh Tiven,Lauren Holtkamp,Evan Scott
1106,Utah,Zach Zarba,Ray Acosta,Brandon Adair
1106,Philadelphia,Bill Kennedy,Dedric Taylor,Brett Nansel
1106,Boston,Tre Maddox,Scott Wall,John Butler
1106,Atlanta,Kevin Scott,Karl Lane,John Conley
1106,L.A. Lakers,James Capers,Michael Smith,Andy Nagy
1107,Brooklyn,Brian Forte,Kevin Cutler,Nate Green
1107,Cleveland,Pat Fraher,Natalie Sago,Suyash Mehta
1107,Utah,Courtney Kirkland,J.T. Orr,CJ Washington
1107,Milwaukee,Scott Foster,JB DeRosa,Jonathan Sterling
1107,Indiana,Sean Wright,Mitchell Ervin,Marat Kogut
1107,San Antonio,James Williams,Derrick Collins,Bennie Adams
1107,Houston,Tony Brothers,Tyler Ford,Scott Twardoski
1107,Charlotte,David Guthrie,Jacyn Goble,Matt Myers
1108,New York,Marc Davis,Brent Barnaky,Scott Wall
1108,Brooklyn,Tre Maddox,JB DeRosa,Brett Nansel
1108,Minnesota,Bill Kennedy,Dedric Taylor,Leon Wood
1108,New Orleans,Mark Lindsay,Nick Buchert,Lauren Holtkamp
1108,Miami,Kevin Scott,Michael Smith,John Conley
1108,Atlanta,James Capers,Marat Kogut,Matt Myers
1108,Phoenix,Josh Tiven,Jacyn Goble,Evan Scott
