Rk,Player,Team,Streak,Streak Started,Streak Ended,Active,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TpDbs,DbDbs,TOV,PF,PTS,GmSc,+/-,BPM,Ind. Games Link,Player-additional
1,DeMar DeRozan,CHI,10,2022-02-04,2022-02-26,,10,10,387,141,249,.566,133,230,.578,8,19,.421,79,91,.868,.638,8,50,58,52,10,2,0,0,29,24,369,27.6,10,5.4,Games List,derozde01
2,Joel Embiid,PHI,8,2021-12-26,2022-01-12,,8,8,251,87,154,.565,78,132,.591,9,22,.409,78,96,.813,.665,22,55,77,36,8,11,1,4,30,17,261,27.1,64,12.3,Games List,embiijo01
3,Ja Morant,MEM,7,2022-01-19,2022-01-31,,7,7,266,96,191,.503,81,148,.547,15,43,.349,41,56,.732,.575,15,35,50,51,8,1,1,3,31,14,248,25.1,9,7.0,Games List,moranja01
4,LeBron James,LAL,7,2021-12-19,2021-12-31,,7,7,254,93,161,.578,69,104,.663,24,57,.421,42,53,.792,.684,12,64,76,43,12,11,1,4,20,15,252,31.9,9,15.4,Games List,jamesle01
5,Joel Embiid,PHI,6,2022-01-15,2022-01-25,,6,6,194,82,146,.562,74,126,.587,8,20,.400,62,74,.838,.655,20,51,71,22,2,10,0,5,17,20,234,31.4,32,15.0,Games List,embiijo01
6,Nikola Jokić,DEN,5,2022-03-30,2022-04-07,,5,5,187,78,121,.645,76,108,.704,2,13,.154,31,39,.795,.684,14,69,83,33,11,4,0,5,23,13,189,34.3,48,12.3,Games List,jokicni01
7,Jalen Green,HOU,5,2022-03-28,2022-04-05,,5,5,194,54,114,.474,28,53,.528,26,61,.426,22,27,.815,.620,3,19,22,14,2,2,0,0,7,13,156,20.9,-9,2.2,Games List,greenja05
8,Luka Dončić,DAL,5,2022-03-27,2022-04-03,,5,5,176,57,114,.500,39,71,.549,18,43,.419,37,44,.841,.634,4,42,46,51,5,3,1,4,18,10,169,29.1,30,12.3,Games List,doncilu01
9,LeBron James,LAL,5,2022-03-18,2022-04-01,,5,5,204,75,134,.560,59,92,.641,16,42,.381,23,32,.719,.638,8,38,46,34,2,4,1,2,18,9,189,29.1,-6,7.5,Games List,jamesle01
10,Giannis Antetokounmpo,MIL,5,2022-03-08,2022-03-16,,5,5,168,61,105,.581,55,88,.625,6,17,.353,51,71,.718,.657,8,44,52,21,7,3,0,3,7,17,179,30.1,4,11.7,Games List,antetgi01
11,Jayson Tatum,BOS,5,2022-03-01,2022-03-11,,5,5,195,71,131,.542,50,81,.617,21,50,.420,36,41,.878,.668,6,26,32,24,4,2,0,0,13,14,199,29.9,65,11.1,Games List,tatumja01
12,Gary Trent Jr.,TOR,5,2022-01-25,2022-02-01,,5,5,210,56,113,.496,25,53,.472,31,60,.517,18,24,.750,.652,1,15,16,7,9,0,0,0,4,9,161,22.7,14,6.4,Games List,trentga02
13,Giannis Antetokounmpo,MIL,5,2021-12-30,2022-01-08,,5,5,163,58,98,.592,50,75,.667,8,23,.348,49,61,.803,.693,7,50,57,34,6,4,1,4,18,18,173,30.0,33,15.3,Games List,antetgi01
14,Kevin Durant,BRK,5,2021-12-10,2021-12-30,,5,5,204,66,130,.508,53,97,.546,13,33,.394,38,42,.905,.616,2,40,42,38,2,8,1,2,22,13,183,27.4,29,8.1,Games List,duranke01
15,Trae Young,ATL,5,2021-11-22,2021-12-01,,5,5,165,58,107,.542,40,68,.588,18,39,.462,24,28,.857,.662,3,21,24,44,5,0,0,3,15,7,158,26.2,75,11.0,Games List,youngtr01
16,Joel Embiid,PHI,4,2022-04-03,2022-04-09,,4,4,151,54,95,.568,47,80,.588,7,15,.467,45,57,.789,.666,11,49,60,11,4,8,0,4,16,8,160,32.7,55,7.4,Games List,embiijo01
17,Donovan Mitchell,UTA,4,2022-03-16,2022-03-23,,4,4,137,45,90,.500,21,36,.583,24,54,.444,26,26,1.000,.690,3,17,20,15,3,0,0,0,15,12,140,24.0,-14,10.0,Games List,mitchdo01
18,Joel Embiid,PHI,4,2022-03-13,2022-03-18,,4,4,146,44,87,.506,36,70,.514,8,17,.471,40,46,.870,.634,12,38,50,20,7,5,0,2,16,12,136,28.5,17,11.7,Games List,embiijo01
19,Luka Dončić,DAL,4,2022-03-03,2022-03-11,,4,4,148,48,93,.516,31,50,.620,17,43,.395,24,33,.727,.637,7,39,46,26,6,4,0,3,16,8,137,28.0,10,15.7,Games List,doncilu01
20,Luka Dončić,DAL,4,2022-01-29,2022-02-04,,4,4,153,54,104,.519,40,67,.597,14,37,.378,15,26,.577,.593,5,32,37,48,7,2,2,4,13,7,137,30.2,47,14.7,Games List,doncilu01
21,LeBron James,LAL,4,2022-01-04,2022-01-12,,4,4,145,52,98,.531,42,66,.636,10,32,.313,18,24,.750,.608,10,19,29,27,4,5,0,0,10,13,132,26.4,-35,7.9,Games List,jamesle01
22,Ja Morant,MEM,4,2021-12-27,2022-01-03,,4,4,136,53,92,.576,39,73,.534,14,19,.737,20,29,.690,.668,7,19,26,22,4,2,0,1,11,7,140,27.7,57,14.5,Games List,moranja01
23,James Harden,BRK,4,2021-12-25,2022-01-01,,4,4,159,43,92,.467,32,59,.542,11,33,.333,45,55,.818,.611,7,37,44,48,6,3,3,4,17,15,142,31.4,10,10.2,Games List,hardeja01
24,Stephen Curry,GSW,4,2021-12-17,2021-12-25,,4,4,145,44,97,.454,22,41,.537,22,56,.393,29,31,.935,.628,1,15,16,18,6,3,0,0,14,11,139,23.9,45,6.5,Games List,curryst01
25,Donovan Mitchell,UTA,4,2021-11-29,2021-12-08,,4,4,138,50,86,.581,32,44,.727,18,42,.429,17,18,.944,.719,1,10,11,19,5,1,0,0,14,7,135,25.1,51,7.6,Games List,mitchdo01
26,Jayson Tatum,BOS,4,2021-11-17,2021-11-22,,4,4,140,46,92,.500,30,50,.600,16,42,.381,26,29,.897,.640,4,30,34,15,5,3,0,1,7,10,134,26.3,48,12.1,Games List,tatumja01
27,Klay Thompson,GSW,3,2022-04-02,2022-04-10,,3,3,103,42,79,.532,21,38,.553,21,41,.512,5,6,.833,.674,1,11,12,8,0,0,0,0,5,7,110,24.3,32,3.5,Games List,thompkl01
28,Devin Booker,PHO,3,2022-04-01,2022-04-08,,3,3,105,42,76,.553,31,56,.554,11,20,.550,11,12,.917,.652,1,14,15,11,1,0,0,0,5,11,106,24.5,20,8.4,Games List,bookede01
29,Trae Young,ATL,3,2022-03-30,2022-04-02,,3,3,92,32,65,.492,20,35,.571,12,30,.400,31,34,.912,.669,1,9,10,27,1,0,0,1,9,5,107,28.5,30,9.7,Games List,youngtr01
30,Giannis Antetokounmpo,MIL,3,2022-03-26,2022-03-31,,3,3,105,41,65,.631,39,57,.684,2,8,.250,30,39,.769,.694,9,30,39,16,2,7,0,3,13,7,114,33.0,5,17.1,Games List,antetgi01
31,DeMar DeRozan,CHI,3,2022-03-28,2022-03-31,,3,3,120,41,79,.519,37,74,.500,4,5,.800,33,34,.971,.633,0,18,18,17,3,0,0,0,7,11,119,29.5,21,8.7,Games List,derozde01
32,Kevin Durant,BRK,3,2022-03-18,2022-03-23,,3,3,116,38,66,.576,31,49,.633,7,17,.412,27,28,.964,.702,1,25,26,22,3,3,0,1,17,6,110,29.3,5,8.5,Games List,duranke01
33,Jayson Tatum,BOS,3,2022-03-18,2022-03-21,,3,3,106,34,52,.654,16,21,.762,18,31,.581,12,12,1.000,.855,0,18,18,17,3,1,0,0,10,5,98,28.1,74,13.5,Games List,tatumja01
34,Shai Gilgeous-Alexander,OKC,3,2022-03-13,2022-03-16,,3,3,109,35,62,.565,30,46,.652,5,16,.313,22,25,.880,.664,3,17,20,20,5,4,0,0,7,11,97,28.0,-26,8.8,Games List,gilgesh01
35,De'Aaron Fox,SAC,3,2022-03-09,2022-03-14,,3,3,120,40,80,.500,28,55,.509,12,25,.480,15,16,.938,.615,2,12,14,27,4,1,0,2,9,11,107,27.3,8,7.3,Games List,foxde01
36,LeBron James,LAL,3,2022-03-11,2022-03-14,,3,3,106,39,64,.609,24,37,.649,15,27,.556,18,22,.818,.753,3,20,23,15,0,4,0,0,12,7,111,28.9,-15,14.0,Games List,jamesle01
37,Nikola Jokić,DEN,3,2022-03-06,2022-03-09,,3,3,113,43,63,.683,40,56,.714,3,7,.429,27,35,.771,.740,9,36,45,31,4,7,2,3,11,10,116,39.5,42,20.0,Games List,jokicni01
38,Shai Gilgeous-Alexander,OKC,3,2022-03-04,2022-03-08,,3,3,103,36,62,.581,32,52,.615,4,10,.400,23,29,.793,.662,1,19,20,29,8,2,0,1,10,10,99,29.9,-11,12.8,Games List,gilgesh01
39,Ja Morant,MEM,3,2022-02-26,2022-03-03,,3,3,107,50,87,.575,39,67,.582,11,20,.550,25,30,.833,.679,4,11,15,12,1,0,0,0,11,4,136,32.0,29,14.4,Games List,moranja01
40,Trae Young,ATL,3,2022-02-26,2022-03-03,,3,3,112,40,67,.597,30,47,.638,10,20,.500,21,22,.955,.724,1,8,9,30,2,1,0,2,9,5,111,31.8,33,12.0,Games List,youngtr01
41,Shai Gilgeous-Alexander,OKC,3,2022-02-24,2022-02-28,,3,3,106,38,62,.613,33,49,.673,5,13,.385,24,32,.750,.690,3,14,17,20,5,3,0,1,18,11,105,26.2,-38,7.5,Games List,gilgesh01
42,Joel Embiid,PHI,3,2022-02-17,2022-02-27,,3,3,104,31,57,.544,25,44,.568,6,13,.462,45,54,.833,.700,2,31,33,11,3,4,0,2,10,11,113,30.6,56,10.7,Games List,embiijo01
43,CJ McCollum,NOP,3,2022-02-15,2022-02-25,,3,3,113,37,69,.536,28,48,.583,9,21,.429,17,23,.739,.632,4,10,14,16,5,0,0,0,6,4,100,26.2,8,10.7,Games List,mccolcj01
44,Donovan Mitchell,UTA,3,2022-02-14,2022-02-25,,3,3,105,33,58,.569,16,26,.615,17,32,.531,17,20,.850,.749,1,10,11,17,5,0,0,0,8,6,100,27.2,31,13.5,Games List,mitchdo01
45,Anfernee Simons,POR,3,2022-02-12,2022-02-16,,3,3,106,34,65,.523,16,27,.593,18,38,.474,6,7,.857,.676,2,8,10,20,2,0,0,0,7,6,92,23.4,29,8.6,Games List,simonan01
46,Luka Dončić,DAL,3,2022-02-08,2022-02-12,,3,3,112,41,77,.532,23,41,.561,18,36,.500,29,41,.707,.679,0,31,31,25,2,3,0,2,19,9,129,31.7,52,16.9,Games List,doncilu01
47,DeMar DeRozan,CHI,3,2022-01-19,2022-01-23,,3,3,112,38,63,.603,38,60,.633,0,3,.000,30,36,.833,.672,3,10,13,13,3,2,0,0,8,7,106,27.5,14,10.8,Games List,derozde01
48,Devin Booker,PHO,3,2022-01-14,2022-01-17,,3,3,100,40,76,.526,28,45,.622,12,31,.387,21,26,.808,.646,3,10,13,13,3,1,0,0,3,5,113,28.9,30,13.9,Games List,bookede01
